"oleh_oleh_raw_id","name","category","address","latitude","longitude","rating","reviews","url","website","phone","search_query","place_id","cid","image_url","initial_status","hold_reason","has_product_signal","has_store_signal","has_noise_category","wisata_overlap_score","wisata_overlap_id","wisata_overlap_name","manual_decision","manual_note"
"OORAW-20260609-0001","Kartika Sari Lembang","Toko Kue","Jl. Raya Tangkuban Parahu Ciburial No.91, Cibogo, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8111633","107.634899","4.6","164","https://www.google.com/maps/search/?api=1&query=Kartika%20Sari%20Lembang&query_place_id=ChIJPwicKQDhaC4RwUyA9xRPnYc","https://www.kartikasari.com/","+62 22 63209028","toko oleh-oleh khas","ChIJPwicKQDhaC4RwUyA9xRPnYc","9772053717934165185","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFydzDkab0gPIYYV89bqfgL53enHDd4y-SJGgQ4zIq2VtDCRrwbC4EdZgpgMnHJy9qOx7OMu6aykpfz9QKJlXvl690ovdGKpF1YiVxfe_prsbPVFWKLxuFKVgA7AMJkT6oMUQOkhw=w408-h544-k-no","candidate","nama/kategori punya sinyal produk atau toko oleh-oleh","True","True","False","0.25","LOC-054","Lembang Wonderland","",""
"OORAW-20260609-0002","PUSAT OLEH - OLEH VIRAL","Toko Kue","Jl. Raya Tangkuban Parahu, RT.5/RW.7, Cikole, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.7853644","107.6522503","4.4","8","https://www.google.com/maps/search/?api=1&query=PUSAT%20OLEH%20-%20OLEH%20VIRAL&query_place_id=ChIJxy58-SHhaC4R9ihq1qxdrRo","","+62 822-3836-318","pusat oleh-oleh","ChIJxy58-SHhaC4R9ihq1qxdrRo","1922295612870109430","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFQgXowb5Xyr-2wE3nT6CSn_a2_1hIIwWfevRmrqD4hX_uFCodbKQtNWNJNDB6LZ2C1k07jzYyiKmGWMJbtK_nS5-dLT6Qv48OsvGGvseLXAFdTDVw6H5JrnmfOY8XkKExqEnsN=w426-h240-k-no","candidate","nama/kategori punya sinyal produk atau toko oleh-oleh","True","True","False","0","","","",""
"OORAW-20260609-0003","Pusat Oleh Oleh Lembang","","Jl. Raya Tangkuban Parahu No.57, Cikole, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.7855625","107.6525274","5","3","https://www.google.com/maps/search/?api=1&query=Pusat%20Oleh%20Oleh%20Lembang&query_place_id=ChIJ6QJBZ2zgaC4RqYwZSnw4eOE","","","pusat oleh-oleh","ChIJ6QJBZ2zgaC4RqYwZSnw4eOE","16246797762209352873","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGesm1uwK1GADZAO1zc-awFWNxQxDY8uXhPZo-kT5So_A2d-Tf0pGl4_ZGDOMvMSqFa47c28sQxMEKiqt-HbG_6VXovawhrnPBuiyVOZv_dV9UcXrtXenQtWWORkIZirBmGyOrMYA=w426-h240-k-no","candidate","nama/kategori punya sinyal produk atau toko oleh-oleh","True","True","False","0.25","LOC-054","Lembang Wonderland","",""
"OORAW-20260609-0004","IntiRasa Oleh Oleh Lembang","Pusat Perbelanjaan","Masjid Ataqwa kp Pasirluyu, Pencut, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8258723","107.6204177","5","2","https://www.google.com/maps/search/?api=1&query=IntiRasa%20Oleh%20Oleh%20Lembang&query_place_id=ChIJezC-s6rhaC4RDk50cSYpzLI","","+62 822-1924-6663","pusat oleh-oleh","ChIJezC-s6rhaC4RDk50cSYpzLI","12883717879089090062","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEuQJlquPA3JeYAgvmuDn65TDfqSXlqOEhRE2JnHlwGiOxVcarPgU0ERP5bq640d3JgrIbuuoo_1VAmkQdUBMbsxB3cl6fx2gRmgcScekERG5t5-nNL4L-KU4j7N-mcHf-C00Nv=w505-h240-k-no","candidate","nama/kategori punya sinyal produk atau toko oleh-oleh","True","True","True","0.25","LOC-054","Lembang Wonderland","",""
"OORAW-20260609-0005","Bakulsaudi / Grosir dan Gudang Kurma Bandung / Pusat Kurma Termurah Bandung / Pusat Oleh Oleh Haji Umroh Bandung","Produsen makanan","Jl. Raya Tangkuban Parahu No. 17. Ds. Cibogo, Kec. Lembang, Cibogo, Barat, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8096149","107.629459","5","20","https://www.google.com/maps/search/?api=1&query=Bakulsaudi%20%2F%20Grosir%20dan%20Gudang%20Kurma%20Bandung%20%2F%20Pusat%20Kurma%20Termurah%20Bandung%20%2F%20Pusat%20Oleh%20Oleh%20Haji%20Umroh%20Bandung&query_place_id=ChIJo1ycr-zhaC4RXVsIG3wFtpk","https://shopee.co.id/bakulsaudi","+62 812-3456-2034","pusat oleh-oleh","ChIJo1ycr-zhaC4RXVsIG3wFtpk","11076046364151929693","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFqIEroNmPxEy4CHl_mkc-03gXn3NozG-IKTf-B1OYnZHks7fs-hCPOqmiMPYhJ-4SnX1gdchvLJecqoCfZSJd-FlSpilbABfiAoY8mj1Q0ag_u5UY8SaqWuat81WiSVRGwUldGAWqmDFvH=w408-h307-k-no","candidate","nama/kategori punya sinyal produk atau toko oleh-oleh","True","True","False","0.083","LOC-016","Chinatown Bandung","",""
"OORAW-20260609-0006","Rumah Oleh Oleh Floating Market Lembang","Toko","Jl. Grand Hotel No.33E A4, Joglo, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.817976","107.6187742","4.3","22","https://www.google.com/maps/search/?api=1&query=Rumah%20Oleh%20Oleh%20Floating%20Market%20Lembang&query_place_id=ChIJlW9RrR3haC4RIX641luF8ps","","+62 22 2787766","toko oleh-oleh khas","ChIJlW9RrR3haC4RIX641luF8ps","11237190649733742113","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFCzamhVXuCkNTVQGctoSxgNSN552tn2wctKdTK-ai9iGuBrGIghaI5yQmjMfEb9Z_i5AszD5IugsNVe1o2Xap9-hv1JymcuaxTbq6gouAR1G-FtAbKM4KS6uLmgzG3fe9xi6er=w426-h240-k-no","candidate","nama/kategori punya sinyal produk atau toko oleh-oleh","True","True","False","0.6","LOC-031","Floating Market Lembang","",""
"OORAW-20260609-0007","TOKO OLEH-OLEH PATRYANA","Pusat Perbelanjaan","Jl. Raya Tangkuban Parahu No.11, Cibogo, Cikole, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8102878","107.6354502","5","2","https://www.google.com/maps/search/?api=1&query=TOKO%20OLEH-OLEH%20PATRYANA&query_place_id=ChIJ1-gRW57haC4RaQxYmD8N0IQ","","","pusat oleh-oleh","ChIJ1-gRW57haC4RaQxYmD8N0IQ","9570163774952311913","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH6I8pBXeZ6bo1jcJoW6RzgoD3HCjhABjjmSAGJ4uEWI84EQ3JjW7vupEp44D74f44F3fTwp0relQ_Dvunj48lPF0w4jHLuhe4JKlByNWfXqAbCp-166FQlogrlPY59ySysIh2Vxg=w408-h310-k-no","candidate","nama/kategori punya sinyal produk atau toko oleh-oleh","True","True","True","0","","","",""
"OORAW-20260609-0008","Oleh Oleh Bandung Sari Raos","Restoran","Jl. Raya Lembang No.240, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8126824","107.6158732","4.3","71","https://www.google.com/maps/search/?api=1&query=Oleh%20Oleh%20Bandung%20Sari%20Raos&query_place_id=ChIJh55JfQPhaC4Rq_QfDdXXm_I","","+62 22 2786550","toko oleh-oleh khas","ChIJh55JfQPhaC4Rq_QfDdXXm_I","17481803688616916139","https://lh3.googleusercontent.com/gps-proxy/ALd4DhF7MZzgxFvoEdDKE83dErUTbvPihk_PDekXaEGW8BRG6J16C_Sfe5-CxXcah2JkN8REH0qjz_05Od9LQe9hLtNjQqgZ9C2dsCOTbjc52MVFqV6jTbzDGMPDtGjpNsc9XmzcMBTcGZkmT4Wy-l7zrmjcGyiXjwIdraJFr9O-VjRO7XyU2auFyDs23rZqYJVnRRuI_ts=w408-h306-k-no","candidate","nama/kategori punya sinyal produk atau toko oleh-oleh","True","True","True","0.2","LOC-016","Chinatown Bandung","",""
"OORAW-20260609-0009","Karma Oleh Oleh Bandung","Toko Kaos","Jl. Dr. Setiabudi No.353, Isola, Kec. Sukasari, Kota Bandung, Jawa Barat 40154, Indonesia","-6.8438458","107.598999","4.9","1250","https://www.google.com/maps/search/?api=1&query=Karma%20Oleh%20Oleh%20Bandung&query_place_id=ChIJswQB6YvhaC4RjMafls9C5i4","","+62 811-2226-0333","toko oleh-oleh khas","ChIJswQB6YvhaC4RjMafls9C5i4","3379462029740852876","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHWCVz8xtRov6kI7DcI4BB5IcCaS0AEkqElasUsEfZBNhS3lLqLdlpcmEUMWItWGpWL3uMNomAMAowGfyiiocE0bkrnJ1AiJlx8KFo4RlW8CjZuRcqBPlj0zm1KVLx1mQuPyVs9RDgyEK9P=w408-h723-k-no","candidate","nama/kategori punya sinyal produk atau toko oleh-oleh","True","True","False","0.25","LOC-016","Chinatown Bandung","",""
"OORAW-20260609-0010","Bolu Susu Lembang Toko Resmi Lembang 1 - Oleh oleh khas Bandung","Toko Kue","Jl. Raya Lembang No.275, Jayagiri, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8121605","107.617927","4.9","5758","https://www.google.com/maps/search/?api=1&query=Bolu%20Susu%20Lembang%20Toko%20Resmi%20Lembang%201%20-%20Oleh%20oleh%20khas%20Bandung&query_place_id=ChIJJejFpgPhaC4RkjLdkCOsXXY","https://bolulembang.co.id/","+62 811-1500-146","toko oleh-oleh khas","ChIJJejFpgPhaC4RkjLdkCOsXXY","8529162538063835794","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG68RmEWzkXUQkC5_7ezRUFyogJCIeS-EFK91YyTsIWyxeaytKcOAWKIIfM38fsDijB8GxtrDVNgsGoPVGKFK5vP7FmDbMJOdGyYA2v6Ik0PyRV6B2xPuwgA6ZAEAo_QRfO7A0V0g=w408-h306-k-no","candidate","nama/kategori punya sinyal produk atau toko oleh-oleh","True","True","False","0.25","LOC-030","Farm House Susu Lembang","",""
