trail_id,user_id,venue_id,latitude,longitude,name,address,venue_category,venue_category_id,venue_category_id_code,venue_city,venue_city_latitude,venue_city_longitude,venue_country,timestamp
2013_1049,21,7846,,,,,Café,4bf58dd8d48988d16d941735,145,Bandung,-6.92222,107.60694,ID,2012-04-08 06:14:00
2013_1049,21,1571,-6.901822746392037,107.59714088606188,Anata Salon,Jl. Pasirkaliki No. 179,Salon / Barbershop,4bf58dd8d48988d110951735,31,Bandung,-6.92222,107.60694,ID,2012-04-08 08:14:00
2013_1049,21,16204,-6.882032130490735,107.6158814232524,CloudNine 254,Dago 254,Café,4bf58dd8d48988d16d941735,145,Bandung,-6.92222,107.60694,ID,2012-04-08 14:19:00
2013_1049,21,13138,-6.886794179558777,107.62350715339232,Bakso Semar Tubagus,Jl. Terusan Tubagus Ismail No. 1,Indonesian Restaurant,4deefc054765f83613cdba6f,321,Bandung,-6.92222,107.60694,ID,2012-04-08 15:19:00
2013_1049,21,791,-6.889532540654028,107.61754720850264,KANTIN AA,Jl. Kubang Selatan No. 48,Asian Restaurant,4bf58dd8d48988d142941735,105,Bandung,-6.92222,107.60694,ID,2012-04-08 17:19:00
2013_1049,21,16493,-6.889472952943576,107.61812825055954,Warung Bibi,,Food Truck,4bf58dd8d48988d1cb941735,227,Bandung,-6.92222,107.60694,ID,2012-04-08 18:19:00
2013_1050,21,12285,-6.882870865796158,107.62796597768764,L'Altopiano ristorante e birra & Salute Garden Bar,,Bar,4bf58dd8d48988d116941735,41,Bandung,-6.92222,107.60694,ID,2012-04-09 12:13:00
2013_1050,21,934,-6.889235925356783,107.5961686228996,Black Canyon Coffee,"Paris Van Java, GF #GB-62",Café,4bf58dd8d48988d16d941735,145,Bandung,-6.92222,107.60694,ID,2012-04-09 13:13:00
2013_1050,21,1157,-6.891902440691625,107.61684479448756,BET Jeans & Tailor,Jl. Teuku Umar,Clothing Store,4bf58dd8d48988d103951735,7,Bandung,-6.92222,107.60694,ID,2012-04-09 19:13:00
2013_1050,21,791,-6.889532540654028,107.61754720850264,KANTIN AA,Jl. Kubang Selatan No. 48,Asian Restaurant,4bf58dd8d48988d142941735,105,Bandung,-6.92222,107.60694,ID,2012-04-09 20:13:00
2013_1050,21,13138,-6.886794179558777,107.62350715339232,Bakso Semar Tubagus,Jl. Terusan Tubagus Ismail No. 1,Indonesian Restaurant,4deefc054765f83613cdba6f,321,Bandung,-6.92222,107.60694,ID,2012-04-09 21:13:00
2013_1050,21,1157,-6.891902440691625,107.61684479448756,BET Jeans & Tailor,Jl. Teuku Umar,Clothing Store,4bf58dd8d48988d103951735,7,Bandung,-6.92222,107.60694,ID,2012-04-10 01:13:00
2013_1050,21,13436,-6.888549590744764,107.61963511226728,Distributor maicih sekeloa,Jl.Sekeloa 110/152c RT02 RW05,Snack Place,4bf58dd8d48988d1c7941735,223,Bandung,-6.92222,107.60694,ID,2012-04-10 02:13:00
2013_1050,21,8079,,,,,Asian Restaurant,4bf58dd8d48988d142941735,105,Bandung,-6.92222,107.60694,ID,2012-04-10 03:13:00
2013_1050,21,13138,-6.886794179558777,107.62350715339232,Bakso Semar Tubagus,Jl. Terusan Tubagus Ismail No. 1,Indonesian Restaurant,4deefc054765f83613cdba6f,321,Bandung,-6.92222,107.60694,ID,2012-04-10 04:13:00
2013_1050,21,652,-6.897460058403324,107.61226454975125,Madame Sari Restaurant,Kartika Sari Dago,Indonesian Restaurant,4deefc054765f83613cdba6f,321,Bandung,-6.92222,107.60694,ID,2012-04-10 06:13:00
2013_1050,21,3097,-6.908642599274991,107.61087834862488,Empire XXI,"Bandung Indah Plaza, Lt. 3",Multiplex,4bf58dd8d48988d180941735,161,Bandung,-6.92222,107.60694,ID,2012-04-10 08:13:00
