source_file,search_query,target_id,target_name,result_source,result_name,distance_km,name_similarity,price_lowest,price_display,overall_rating,reviews,property_token,audit_status
pasted-text.txt,Rhapsodic Stay Bed and Breakfast Bandung Kota Bandung Jawa Barat Indonesia,LODGE-01551,Rhapsodic Stay Bed and Breakfast Bandung,properties,Rhapsodic Stay Bed and Breakfast Bandung,0.004,1.0,,,4.3,65.0,ChoIudSv3YOipa7EARoNL2cvMTFjbWhkbDV2NxAB,target_found_no_price
pasted-text.txt,Rhapsodic Stay Bed and Breakfast Bandung Kota Bandung Jawa Barat Indonesia,LODGE-01551,Rhapsodic Stay Bed and Breakfast Bandung,properties,Daun Residence,1.131,0.217,410477.0,Rp 410.477,4.5,383.0,ChkI6Oq366mtyJp8Gg0vZy8xMWZqd3pmaHhoEAE,other_property_price_ignore
pasted-text.txt,Rhapsodic Stay Bed and Breakfast Bandung Kota Bandung Jawa Barat Indonesia,LODGE-01551,Rhapsodic Stay Bed and Breakfast Bandung,properties,Pagar Putih Guest House Syariah,1.358,0.254,157343.0,Rp 157.343,4.6,156.0,ChkI_amaqeDl9fESGg0vZy8xMXNwODY0eWpuEAE,other_property_price_ignore
pasted-text.txt,Rhapsodic Stay Bed and Breakfast Bandung Kota Bandung Jawa Barat Indonesia,LODGE-01551,Rhapsodic Stay Bed and Breakfast Bandung,properties,Buminanienie Family Guest House,1.162,0.222,163214.0,Rp 163.214,4.1,172.0,ChcI85yV5MOUjetrGgsvZy8xdGY0YmZsNRAB,other_property_price_ignore
pasted-text.txt,Rhapsodic Stay Bed and Breakfast Bandung Kota Bandung Jawa Barat Indonesia,LODGE-01551,Rhapsodic Stay Bed and Breakfast Bandung,properties,Selaras Guest House & Restaurant,0.947,0.323,379313.0,Rp 379.313,4.6,1182.0,ChgIlIPchaOmvtBRGgwvZy8xMXg5YnRkenQQAQ,other_property_price_ignore
pasted-text.txt,Rhapsodic Stay Bed and Breakfast Bandung Kota Bandung Jawa Barat Indonesia,LODGE-01551,Rhapsodic Stay Bed and Breakfast Bandung,properties,NEO Hotel by ASTON Dipati Ukur Bandung,0.927,0.189,386700.0,Rp 386.700,4.6,6508.0,ChkIx7mbur279Pk0Gg0vZy8xMWJ2M3JuN2JrEAE,other_property_price_ignore
pasted-text.txt,Rhapsodic Stay Bed and Breakfast Bandung Kota Bandung Jawa Barat Indonesia,LODGE-01551,Rhapsodic Stay Bed and Breakfast Bandung,properties,Guest House Mallea,0.971,0.2,252486.0,Rp 252.486,4.8,23.0,ChoI6cqKitSc4Y3MARoNL2cvMTFjNjBkeDBkaxAB,other_property_price_ignore
pasted-text.txt,Rhapsodic Stay Bed and Breakfast Bandung Kota Bandung Jawa Barat Indonesia,LODGE-01551,Rhapsodic Stay Bed and Breakfast Bandung,properties,Urban Merdeka by UHM,1.702,0.245,111654.0,Rp 111.654,4.2,163.0,ChoI66aGy_j0pNDUARoNL2cvMTFmcmZtN3BudBAB,other_property_price_ignore
pasted-text.txt,Rhapsodic Stay Bed and Breakfast Bandung Kota Bandung Jawa Barat Indonesia,LODGE-01551,Rhapsodic Stay Bed and Breakfast Bandung,properties,Hotel tekMIRA,1.092,0.103,168480.0,Rp 168.480,4.4,191.0,ChkIx7XYqrSwlcNCGg0vZy8xMXkyN2wxcWo0EAE,other_property_price_ignore
pasted-text.txt,Rhapsodic Stay Bed and Breakfast Bandung Kota Bandung Jawa Barat Indonesia,LODGE-01551,Rhapsodic Stay Bed and Breakfast Bandung,properties,De'qur Hotel,0.552,0.053,163648.0,Rp 163.648,3.3,512.0,ChcI2bDIxsSUyYoOGgsvZy8xdGN4bTIycBAB,other_property_price_ignore
