source_file,search_query,target_id,target_name,result_source,result_name,distance_km,name_similarity,price_lowest,price_display,overall_rating,reviews,property_token,audit_status
pasted-text.txt,Naraya house Kota Bandung Jawa Barat Indonesia,LODGE-01542,Naraya house,properties,Naraya house,0.006,1.0,,,4.1,159.0,ChkIuMHc6oeEtZp9Gg0vZy8xMWMxcjMwbjMwEAE,target_found_no_price
pasted-text.txt,Naraya house Kota Bandung Jawa Barat Indonesia,LODGE-01542,Naraya house,properties,De Halimun Guest House,0.609,0.412,326970.0,Rp 326.970,4.4,983.0,ChgIquewybWS85xQGgwvZy8xcHpyZmpreXYQAQ,other_property_price_ignore
pasted-text.txt,Naraya house Kota Bandung Jawa Barat Indonesia,LODGE-01542,Naraya house,properties,G10 Guest House,0.516,0.444,240786.0,Rp 240.786,4.6,120.0,ChoIu6a5nYuqyv-yARoNL2cvMTFjMXhobnJiNRAB,other_property_price_ignore
pasted-text.txt,Naraya house Kota Bandung Jawa Barat Indonesia,LODGE-01542,Naraya house,properties,Elephant Eleven Residence Buah Batu Kota Bandung,0.339,0.17,237565.0,Rp 237.565,4.5,89.0,ChoIqMu40ZKg9d7CARoNL2cvMTFzN3duazVfcRAB,other_property_price_ignore
pasted-text.txt,Naraya house Kota Bandung Jawa Barat Indonesia,LODGE-01542,Naraya house,properties,Malaka Hotel,0.62,0.333,521044.0,Rp 521.044,4.4,4131.0,ChcIqfDm--TJm8IZGgsvZy8xdmI2N3R6dxAB,other_property_price_ignore
pasted-text.txt,Naraya house Kota Bandung Jawa Barat Indonesia,LODGE-01542,Naraya house,properties,De'rain Hotel,0.9,0.211,364232.0,Rp 364.232,4.2,2543.0,ChkI7ta3-Yj7nKgyGg0vZy8xMWI3dzBiMWdjEAE,other_property_price_ignore
pasted-text.txt,Naraya house Kota Bandung Jawa Barat Indonesia,LODGE-01542,Naraya house,properties,Horison Ultima Bandung,0.779,0.231,527246.0,Rp 527.246,4.2,10685.0,ChcIrZPftaTQxbYKGgsvZy8xdGs0MHJkdxAB,other_property_price_ignore
pasted-text.txt,Naraya house Kota Bandung Jawa Barat Indonesia,LODGE-01542,Naraya house,properties,Hotel Sepuluh Bandung,0.323,0.211,257444.0,Rp 257.444,4.8,8.0,ChkItebZntruytZrGg0vZy8xMXk0X3Y2enduEAE,other_property_price_ignore
pasted-text.txt,Naraya house Kota Bandung Jawa Barat Indonesia,LODGE-01542,Naraya house,properties,Cove Vaia - Coliving Bandung,0.733,0.267,318364.0,Rp 318.364,4.9,256.0,ChoImu3Ck-3gu8SqARoNL2cvMTF5ZHlzeHkwXxAB,other_property_price_ignore
pasted-text.txt,Naraya house Kota Bandung Jawa Barat Indonesia,LODGE-01542,Naraya house,properties,La Nostalgie Boutique Hotel Bandung,1.065,0.303,326188.0,Rp 326.188,4.4,437.0,ChkIn9Lb9-eslZalARoML2cvMWhoaGNod3htEAE,other_property_price_ignore
