review_target_id,penginapan_id,name,property_type,review_scrape_priority,review_confidence_label,google_maps_search_query,google_maps_search_url
PHREV-20260605-0743,LODGE-00504,RedDoorz at Argapuri Resort Gambung,hotel,medium_review_confidence,medium_review_confidence,"RedDoorz at Argapuri Resort Gambung -7.1318,107.5129",https://www.google.com/maps/search/?api=1&query=RedDoorz%20at%20Argapuri%20Resort%20Gambung%20-7.1318%2C107.5129
PHREV-20260605-0080,LODGE-01622,RedDoorz dekat Universitas Korporat Telkom,hotel,high_review_confidence,high_review_confidence,"RedDoorz dekat Universitas Korporat Telkom -6.8724,107.5903",https://www.google.com/maps/search/?api=1&query=RedDoorz%20dekat%20Universitas%20Korporat%20Telkom%20-6.8724%2C107.5903
PHREV-20260605-0879,LODGE-00999,RedDoorz near Alun Alun Bandung 3,hotel,medium_review_confidence,medium_review_confidence,"RedDoorz near Alun Alun Bandung 3 -6.9296,107.6054",https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Alun%20Alun%20Bandung%203%20-6.9296%2C107.6054
PHREV-20260605-0550,LODGE-01580,RedDoorz near Asia Afrika 2,hotel,low_review_confidence,low_review_confidence,"RedDoorz near Asia Afrika 2 -6.9316,107.6193",https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Asia%20Afrika%202%20-6.9316%2C107.6193
PHREV-20260605-0775,LODGE-00340,RedDoorz near Cimahi Station,hotel,medium_review_confidence,medium_review_confidence,"RedDoorz near Cimahi Station -6.8689048,107.527882",https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Cimahi%20Station%20-6.8689048%2C107.527882
PHREV-20260605-0805,LODGE-00103,RedDoorz near Exit Toll Pasteur 4,hotel,medium_review_confidence,medium_review_confidence,"RedDoorz near Exit Toll Pasteur 4 -6.8905976,107.5790232",https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Exit%20Toll%20Pasteur%204%20-6.8905976%2C107.5790232
PHREV-20260605-0014,LODGE-01000,RedDoorz near Exit Toll Pasteur 5,hotel,high_review_confidence,high_review_confidence,"RedDoorz near Exit Toll Pasteur 5 -6.8862,107.5841",https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Exit%20Toll%20Pasteur%205%20-6.8862%2C107.5841
PHREV-20260605-0845,LODGE-01001,RedDoorz near Farm House 4,hotel,medium_review_confidence,medium_review_confidence,"RedDoorz near Farm House 4 -6.8401,107.597",https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Farm%20House%204%20-6.8401%2C107.597
PHREV-20260605-0898,LODGE-01004,RedDoorz near Istana Plaza 2,hotel,medium_review_confidence,medium_review_confidence,"RedDoorz near Istana Plaza 2 -6.9051,107.5986",https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Istana%20Plaza%202%20-6.9051%2C107.5986
PHREV-20260605-0807,LODGE-01005,RedDoorz near Istana Plaza 3,hotel,medium_review_confidence,medium_review_confidence,"RedDoorz near Istana Plaza 3 -6.9011,107.5954",https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Istana%20Plaza%203%20-6.9011%2C107.5954
PHREV-20260605-0133,LODGE-01308,RedDoorz near Jatinangor Town Square,hotel,high_review_confidence,high_review_confidence,"RedDoorz near Jatinangor Town Square -6.9428,107.7735",https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Jatinangor%20Town%20Square%20-6.9428%2C107.7735
PHREV-20260605-0858,LODGE-00823,RedDoorz near Lembang Park & Zoo 2,hotel,medium_review_confidence,medium_review_confidence,"RedDoorz near Lembang Park & Zoo 2 -6.8156,107.5983",https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Lembang%20Park%20%26%20Zoo%202%20-6.8156%2C107.5983
PHREV-20260605-0058,LODGE-01006,RedDoorz near Margahayu Raya,hotel,high_review_confidence,high_review_confidence,"RedDoorz near Margahayu Raya -6.9437,107.6615",https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Margahayu%20Raya%20-6.9437%2C107.6615
PHREV-20260605-0692,LODGE-01007,RedDoorz near Metro Bandung,hotel,low_review_confidence,low_review_confidence,"RedDoorz near Metro Bandung -6.9409,107.6549",https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Metro%20Bandung%20-6.9409%2C107.6549
PHREV-20260605-0021,LODGE-01008,RedDoorz near Parahyangan University,hotel,high_review_confidence,high_review_confidence,"RedDoorz near Parahyangan University -6.8743,107.6075",https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Parahyangan%20University%20-6.8743%2C107.6075
PHREV-20260605-0759,LODGE-01009,RedDoorz near Paris Van Java,hotel,medium_review_confidence,medium_review_confidence,"RedDoorz near Paris Van Java -6.885,107.5969",https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Paris%20Van%20Java%20-6.885%2C107.5969
PHREV-20260605-0880,LODGE-01010,RedDoorz near Riau Junction Mall 2,hotel,medium_review_confidence,medium_review_confidence,"RedDoorz near Riau Junction Mall 2 -6.9023,107.6152",https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Riau%20Junction%20Mall%202%20-6.9023%2C107.6152
PHREV-20260605-0894,LODGE-00045,RedDoorz near Setrasari mall 4,hotel,medium_review_confidence,medium_review_confidence,"RedDoorz near Setrasari mall 4 -6.8808,107.5792",https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Setrasari%20mall%204%20-6.8808%2C107.5792
PHREV-20260605-0072,LODGE-01011,RedDoorz near Simpang Dago 2,hotel,high_review_confidence,high_review_confidence,"RedDoorz near Simpang Dago 2 -6.8853,107.6163",https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Simpang%20Dago%202%20-6.8853%2C107.6163
PHREV-20260605-1246,LODGE-00810,RedDoorz near Situ Cileunca Pangalengan,hotel,missing_rating_or_review,missing_review_confidence,"RedDoorz near Situ Cileunca Pangalengan -7.1872,107.5555",https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Situ%20Cileunca%20Pangalengan%20-7.1872%2C107.5555
PHREV-20260605-0680,LODGE-01636,RedDoorz near Tegalega Park,hotel,low_review_confidence,low_review_confidence,"RedDoorz near Tegalega Park -6.9395,107.6049",https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Tegalega%20Park%20-6.9395%2C107.6049
PHREV-20260605-0771,LODGE-01475,RedDoorz near Tegalega Park 2,hotel,medium_review_confidence,medium_review_confidence,"RedDoorz near Tegalega Park 2 -6.9345,107.6129",https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Tegalega%20Park%202%20-6.9345%2C107.6129
PHREV-20260605-0081,LODGE-01013,RedDoorz near Telkom Corporate University,hotel,high_review_confidence,high_review_confidence,"RedDoorz near Telkom Corporate University -6.8724,107.5903",https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Telkom%20Corporate%20University%20-6.8724%2C107.5903
