review_target_id,penginapan_id,name,property_type,review_scrape_priority,review_confidence_label,google_maps_search_query,google_maps_search_url
PHREV-20260605-1458,LODGE-00333,Villa Sapa Syariah Pakuhaji Highland Eco-Resort,villa,missing_rating_or_review,missing_review_confidence,"Villa Sapa Syariah Pakuhaji Highland Eco-Resort -6.8272,107.5409",https://www.google.com/maps/search/?api=1&query=Villa%20Sapa%20Syariah%20Pakuhaji%20Highland%20Eco-Resort%20-6.8272%2C107.5409
PHREV-20260605-0473,LODGE-00506,Villa Situ Citiwu Ciwidey - Vacation Home,villa,low_review_confidence,low_review_confidence,"Villa Situ Citiwu Ciwidey - Vacation Home -7.1174,107.4419",https://www.google.com/maps/search/?api=1&query=Villa%20Situ%20Citiwu%20Ciwidey%20-%20Vacation%20Home%20-7.1174%2C107.4419
PHREV-20260605-0767,LODGE-00606,Villa Situ Patenggang,villa,medium_review_confidence,medium_review_confidence,"Villa Situ Patenggang -7.1637,107.3577",https://www.google.com/maps/search/?api=1&query=Villa%20Situ%20Patenggang%20-7.1637%2C107.3577
PHREV-20260605-1460,LODGE-00630,Villa Situ Patenggang BKSDA,villa,missing_rating_or_review,missing_review_confidence,"Villa Situ Patenggang BKSDA -7.1637,107.3577",https://www.google.com/maps/search/?api=1&query=Villa%20Situ%20Patenggang%20BKSDA%20-7.1637%2C107.3577
PHREV-20260605-1461,LODGE-00607,Villa Situ Patenggang Bandung Selatan,villa,missing_rating_or_review,missing_review_confidence,"Villa Situ Patenggang Bandung Selatan -7.1637,107.3577",https://www.google.com/maps/search/?api=1&query=Villa%20Situ%20Patenggang%20Bandung%20Selatan%20-7.1637%2C107.3577
PHREV-20260605-1463,LODGE-00007,Villa Soli Deo Gloria,villa,missing_rating_or_review,missing_review_confidence,"Villa Soli Deo Gloria -6.6295,107.5543",https://www.google.com/maps/search/?api=1&query=Villa%20Soli%20Deo%20Gloria%20-6.6295%2C107.5543
PHREV-20260605-1464,LODGE-00189,Villa Suarga Loka,villa,missing_rating_or_review,missing_review_confidence,"Villa Suarga Loka -6.8304,107.5526",https://www.google.com/maps/search/?api=1&query=Villa%20Suarga%20Loka%20-6.8304%2C107.5526
PHREV-20260605-1465,LODGE-00334,Villa Suarga Loka 1,villa,missing_rating_or_review,missing_review_confidence,"Villa Suarga Loka 1 -6.8304,107.5526",https://www.google.com/maps/search/?api=1&query=Villa%20Suarga%20Loka%201%20-6.8304%2C107.5526
PHREV-20260605-0622,LODGE-00516,Villa Syariah Ciwidey Bandung Arreneuz View Kebun,villa,low_review_confidence,low_review_confidence,"Villa Syariah Ciwidey Bandung Arreneuz View Kebun -7.1062,107.4262",https://www.google.com/maps/search/?api=1&query=Villa%20Syariah%20Ciwidey%20Bandung%20Arreneuz%20View%20Kebun%20-7.1062%2C107.4262
PHREV-20260605-1468,LODGE-00749,Villa Syariah Teras Danoe,villa,missing_rating_or_review,missing_review_confidence,"Villa Syariah Teras Danoe -7.1945,107.5451",https://www.google.com/maps/search/?api=1&query=Villa%20Syariah%20Teras%20Danoe%20-7.1945%2C107.5451
PHREV-20260605-0408,LODGE-00517,Villa Tagar Hidayah,villa,low_review_confidence,low_review_confidence,"Villa Tagar Hidayah -7.0858,107.4482",https://www.google.com/maps/search/?api=1&query=Villa%20Tagar%20Hidayah%20-7.0858%2C107.4482
PHREV-20260605-1470,LODGE-00609,Villa Tagar Hidayah Ciwidey,villa,missing_rating_or_review,missing_review_confidence,"Villa Tagar Hidayah Ciwidey -7.0858,107.4482",https://www.google.com/maps/search/?api=1&query=Villa%20Tagar%20Hidayah%20Ciwidey%20-7.0858%2C107.4482
