review_target_id,penginapan_id,name,property_type,review_scrape_priority,review_confidence_label,google_maps_search_query,google_maps_search_url
PHREV-20260605-0122,LODGE-00914,Grand Kembar Hotel,hotel,high_review_confidence,high_review_confidence,"Grand Kembar Hotel -6.9451,107.6085",https://www.google.com/maps/search/?api=1&query=Grand%20Kembar%20Hotel%20-6.9451%2C107.6085
PHREV-20260605-0877,LODGE-00818,Grand Nirwana Resort Hotel,hotel,medium_review_confidence,medium_review_confidence,"Grand Nirwana Resort Hotel -6.7908,107.6524",https://www.google.com/maps/search/?api=1&query=Grand%20Nirwana%20Resort%20Hotel%20-6.7908%2C107.6524
PHREV-20260605-0267,LODGE-00915,Grand Pacific Hotel,hotel,high_review_confidence,high_review_confidence,"Grand Pacific Hotel -6.9088,107.5979",https://www.google.com/maps/search/?api=1&query=Grand%20Pacific%20Hotel%20-6.9088%2C107.5979
PHREV-20260605-0235,LODGE-00824,Grand Panorama Lembang,hotel,high_review_confidence,high_review_confidence,"Grand Panorama Lembang -6.8104,107.6249",https://www.google.com/maps/search/?api=1&query=Grand%20Panorama%20Lembang%20-6.8104%2C107.6249
PHREV-20260605-0317,LODGE-00916,Grand Pasundan Convention Hotel,hotel,high_review_confidence,high_review_confidence,"Grand Pasundan Convention Hotel -6.9367,107.5935",https://www.google.com/maps/search/?api=1&query=Grand%20Pasundan%20Convention%20Hotel%20-6.9367%2C107.5935
PHREV-20260605-0292,LODGE-01252,Grand Sovia Hotel,hotel,high_review_confidence,high_review_confidence,"Grand Sovia Hotel -6.9124,107.6028",https://www.google.com/maps/search/?api=1&query=Grand%20Sovia%20Hotel%20-6.9124%2C107.6028
PHREV-20260605-0332,LODGE-00771,Grand Sunshine Resort & Convention,hotel,high_review_confidence,high_review_confidence,"Grand Sunshine Resort & Convention -7.0253,107.5284",https://www.google.com/maps/search/?api=1&query=Grand%20Sunshine%20Resort%20%26%20Convention%20-7.0253%2C107.5284
PHREV-20260605-0334,LODGE-00917,Grand Tjokro Premiere Bandung,hotel,high_review_confidence,high_review_confidence,"Grand Tjokro Premiere Bandung -6.8863,107.6038",https://www.google.com/maps/search/?api=1&query=Grand%20Tjokro%20Premiere%20Bandung%20-6.8863%2C107.6038
PHREV-20260605-0251,LODGE-01360,Green Batara Hotel,hotel,high_review_confidence,high_review_confidence,"Green Batara Hotel -6.8949,107.6038",https://www.google.com/maps/search/?api=1&query=Green%20Batara%20Hotel%20-6.8949%2C107.6038
PHREV-20260605-0906,LODGE-00082,Grha Blue Sky,hotel,medium_review_confidence,medium_review_confidence,"Grha Blue Sky -6.8843554,107.5780626",https://www.google.com/maps/search/?api=1&query=Grha%20Blue%20Sky%20-6.8843554%2C107.5780626
PHREV-20260605-0303,LODGE-00920,Gumilang Regency Hotel,hotel,high_review_confidence,high_review_confidence,"Gumilang Regency Hotel -6.8459,107.5993",https://www.google.com/maps/search/?api=1&query=Gumilang%20Regency%20Hotel%20-6.8459%2C107.5993
PHREV-20260605-0316,LODGE-00921,HARRIS Ciumbuleuit Bandung,hotel,high_review_confidence,high_review_confidence,"HARRIS Ciumbuleuit Bandung -6.8807,107.6041",https://www.google.com/maps/search/?api=1&query=HARRIS%20Ciumbuleuit%20Bandung%20-6.8807%2C107.6041
PHREV-20260605-0321,LODGE-00922,HARRIS Hotel & Conventions Festival Citylink Bandung,hotel,high_review_confidence,high_review_confidence,"HARRIS Hotel & Conventions Festival Citylink Bandung -6.9296,107.5866",https://www.google.com/maps/search/?api=1&query=HARRIS%20Hotel%20%26%20Conventions%20Festival%20Citylink%20Bandung%20-6.9296%2C107.5866
PHREV-20260605-0090,LODGE-00923,HOTEL LOCUS ROOMS,hotel,high_review_confidence,high_review_confidence,"HOTEL LOCUS ROOMS -6.9557,107.6286",https://www.google.com/maps/search/?api=1&query=HOTEL%20LOCUS%20ROOMS%20-6.9557%2C107.6286
PHREV-20260605-0077,LODGE-00060,HOTEL PARAHYANGAN,hotel,high_review_confidence,high_review_confidence,"HOTEL PARAHYANGAN -6.9112,107.5785",https://www.google.com/maps/search/?api=1&query=HOTEL%20PARAHYANGAN%20-6.9112%2C107.5785
PHREV-20260605-0225,LODGE-00924,Hay Bandung,hotel,high_review_confidence,high_review_confidence,"Hay Bandung -6.9033,107.6132",https://www.google.com/maps/search/?api=1&query=Hay%20Bandung%20-6.9033%2C107.6132
PHREV-20260605-0276,LODGE-00925,Hemangini Hotel,hotel,high_review_confidence,high_review_confidence,"Hemangini Hotel -6.8806,107.5993",https://www.google.com/maps/search/?api=1&query=Hemangini%20Hotel%20-6.8806%2C107.5993
PHREV-20260605-0340,LODGE-00926,Holiday Inn Bandung Pasteur,hotel,high_review_confidence,high_review_confidence,"Holiday Inn Bandung Pasteur -6.8961,107.5906",https://www.google.com/maps/search/?api=1&query=Holiday%20Inn%20Bandung%20Pasteur%20-6.8961%2C107.5906
PHREV-20260605-0890,LODGE-01614,Holiday Inn Express Bandung Braga by IHG,hotel,medium_review_confidence,medium_review_confidence,"Holiday Inn Express Bandung Braga by IHG -6.9172,107.6109",https://www.google.com/maps/search/?api=1&query=Holiday%20Inn%20Express%20Bandung%20Braga%20by%20IHG%20-6.9172%2C107.6109
PHREV-20260605-0341,LODGE-00927,Hotel Aston Tropicana Bandung,hotel,high_review_confidence,high_review_confidence,"Hotel Aston Tropicana Bandung -6.8962,107.6036",https://www.google.com/maps/search/?api=1&query=Hotel%20Aston%20Tropicana%20Bandung%20-6.8962%2C107.6036
PHREV-20260605-0189,LODGE-01262,Hotel Astria Graha,hotel,high_review_confidence,high_review_confidence,"Hotel Astria Graha -6.9233,107.6104",https://www.google.com/maps/search/?api=1&query=Hotel%20Astria%20Graha%20-6.9233%2C107.6104
PHREV-20260605-0172,LODGE-01130,Hotel Augusta Surapati Bandung,hotel,high_review_confidence,high_review_confidence,"Hotel Augusta Surapati Bandung -6.8976,107.6337",https://www.google.com/maps/search/?api=1&query=Hotel%20Augusta%20Surapati%20Bandung%20-6.8976%2C107.6337
PHREV-20260605-0174,LODGE-01131,Hotel Augusta Valley,hotel,high_review_confidence,high_review_confidence,"Hotel Augusta Valley -6.8639,107.5983",https://www.google.com/maps/search/?api=1&query=Hotel%20Augusta%20Valley%20-6.8639%2C107.5983
PHREV-20260605-0181,LODGE-01571,Hotel Bali Indah,hotel,high_review_confidence,high_review_confidence,"Hotel Bali Indah -6.9382,107.6152",https://www.google.com/maps/search/?api=1&query=Hotel%20Bali%20Indah%20-6.9382%2C107.6152
PHREV-20260605-0124,LODGE-01366,Hotel Bandung Permai,hotel,high_review_confidence,high_review_confidence,"Hotel Bandung Permai -6.914,107.6339",https://www.google.com/maps/search/?api=1&query=Hotel%20Bandung%20Permai%20-6.914%2C107.6339
PHREV-20260605-0171,LODGE-00928,Hotel Bumi Asih Gedung Sate Bandung,hotel,high_review_confidence,high_review_confidence,"Hotel Bumi Asih Gedung Sate Bandung -6.9033,107.6167",https://www.google.com/maps/search/?api=1&query=Hotel%20Bumi%20Asih%20Gedung%20Sate%20Bandung%20-6.9033%2C107.6167
PHREV-20260605-0162,LODGE-01536,Hotel Butik Sawunggaling,hotel,high_review_confidence,high_review_confidence,"Hotel Butik Sawunggaling -6.9007,107.6094",https://www.google.com/maps/search/?api=1&query=Hotel%20Butik%20Sawunggaling%20-6.9007%2C107.6094
PHREV-20260605-0274,LODGE-01263,Hotel California Bandung,hotel,high_review_confidence,high_review_confidence,"Hotel California Bandung -6.9038,107.6053",https://www.google.com/maps/search/?api=1&query=Hotel%20California%20Bandung%20-6.9038%2C107.6053
PHREV-20260605-0093,LODGE-00255,Hotel Candra,hotel,high_review_confidence,high_review_confidence,"Hotel Candra -6.8775542,107.5482844",https://www.google.com/maps/search/?api=1&query=Hotel%20Candra%20-6.8775542%2C107.5482844
PHREV-20260605-0176,LODGE-00038,Hotel Cassadua,hotel,high_review_confidence,high_review_confidence,"Hotel Cassadua -6.8898,107.5783",https://www.google.com/maps/search/?api=1&query=Hotel%20Cassadua%20-6.8898%2C107.5783
