review_target_id,penginapan_id,name,property_type,review_scrape_priority,review_confidence_label,google_maps_search_query,google_maps_search_url
PHREV-20260605-0662,LODGE-01563,Airy Supratman 23 Bandung,hotel,low_review_confidence,low_review_confidence,"Airy Supratman 23 Bandung -6.9065,107.6294",https://www.google.com/maps/search/?api=1&query=Airy%20Supratman%2023%20Bandung%20-6.9065%2C107.6294
PHREV-20260605-0863,LODGE-01564,Airy Veteran 30 Bandung,hotel,medium_review_confidence,medium_review_confidence,"Airy Veteran 30 Bandung -6.9192,107.615",https://www.google.com/maps/search/?api=1&query=Airy%20Veteran%2030%20Bandung%20-6.9192%2C107.615
PHREV-20260605-0208,LODGE-00854,Alqueby Hotel,hotel,high_review_confidence,high_review_confidence,"Alqueby Hotel -6.9119,107.6509",https://www.google.com/maps/search/?api=1&query=Alqueby%20Hotel%20-6.9119%2C107.6509
PHREV-20260605-0287,LODGE-00856,Amaris Hotel Cihampelas,hotel,high_review_confidence,high_review_confidence,"Amaris Hotel Cihampelas -6.8902,107.6037",https://www.google.com/maps/search/?api=1&query=Amaris%20Hotel%20Cihampelas%20-6.8902%2C107.6037
PHREV-20260605-0231,LODGE-00857,Amaris Hotel Cimanuk,hotel,high_review_confidence,high_review_confidence,"Amaris Hotel Cimanuk -6.9044,107.6207",https://www.google.com/maps/search/?api=1&query=Amaris%20Hotel%20Cimanuk%20-6.9044%2C107.6207
PHREV-20260605-0264,LODGE-00858,Amaris Hotel Setiabudhi Bandung,hotel,high_review_confidence,high_review_confidence,"Amaris Hotel Setiabudhi Bandung -6.8735,107.5959",https://www.google.com/maps/search/?api=1&query=Amaris%20Hotel%20Setiabudhi%20Bandung%20-6.8735%2C107.5959
PHREV-20260605-0294,LODGE-01216,Amaroossa Hotel Bandung,hotel,high_review_confidence,high_review_confidence,"Amaroossa Hotel Bandung -6.9085,107.6185",https://www.google.com/maps/search/?api=1&query=Amaroossa%20Hotel%20Bandung%20-6.9085%2C107.6185
PHREV-20260605-0032,LODGE-00084,Amellia Hotel Pasteur,hotel,high_review_confidence,high_review_confidence,"Amellia Hotel Pasteur -6.8857,107.5786",https://www.google.com/maps/search/?api=1&query=Amellia%20Hotel%20Pasteur%20-6.8857%2C107.5786
PHREV-20260605-0118,LODGE-00859,Amira Hotel,hotel,high_review_confidence,high_review_confidence,"Amira Hotel -6.8844,107.5834",https://www.google.com/maps/search/?api=1&query=Amira%20Hotel%20-6.8844%2C107.5834
PHREV-20260605-0018,LODGE-00056,Andalucia Lodge & Brunch Bandung,hotel,high_review_confidence,high_review_confidence,"Andalucia Lodge & Brunch Bandung -6.8926,107.5745",https://www.google.com/maps/search/?api=1&query=Andalucia%20Lodge%20%26%20Brunch%20Bandung%20-6.8926%2C107.5745
PHREV-20260605-0938,LODGE-01651,Andy,hotel,missing_rating_or_review,missing_review_confidence,"Andy -6.9281,107.6067",https://www.google.com/maps/search/?api=1&query=Andy%20-6.9281%2C107.6067
PHREV-20260605-0205,LODGE-01222,Ardan Hotel,hotel,high_review_confidence,high_review_confidence,"Ardan Hotel -6.8933,107.5991",https://www.google.com/maps/search/?api=1&query=Ardan%20Hotel%20-6.8933%2C107.5991
PHREV-20260605-0109,LODGE-01519,Ardellia Hotel,hotel,high_review_confidence,high_review_confidence,"Ardellia Hotel -6.925,107.6189",https://www.google.com/maps/search/?api=1&query=Ardellia%20Hotel%20-6.925%2C107.6189
PHREV-20260605-0037,LODGE-01520,Arsallya Hotel,hotel,high_review_confidence,high_review_confidence,"Arsallya Hotel -6.9279,107.6212",https://www.google.com/maps/search/?api=1&query=Arsallya%20Hotel%20-6.9279%2C107.6212
PHREV-20260605-0285,LODGE-00863,Art Deco Luxury Hotel,hotel,high_review_confidence,high_review_confidence,"Art Deco Luxury Hotel -6.8699,107.6078",https://www.google.com/maps/search/?api=1&query=Art%20Deco%20Luxury%20Hotel%20-6.8699%2C107.6078
PHREV-20260605-0965,LODGE-00814,Artana 2 Chipsari by OYO,hotel,missing_rating_or_review,missing_review_confidence,"Artana 2 Chipsari by OYO -7.1933,107.545",https://www.google.com/maps/search/?api=1&query=Artana%202%20Chipsari%20by%20OYO%20-7.1933%2C107.545
PHREV-20260605-0323,LODGE-00864,Aryaduta Bandung,hotel,high_review_confidence,high_review_confidence,"Aryaduta Bandung -6.9093,107.6119",https://www.google.com/maps/search/?api=1&query=Aryaduta%20Bandung%20-6.9093%2C107.6119
PHREV-20260605-0187,LODGE-00865,Asmila Boutique Hotel,hotel,high_review_confidence,high_review_confidence,"Asmila Boutique Hotel -6.882,107.6001",https://www.google.com/maps/search/?api=1&query=Asmila%20Boutique%20Hotel%20-6.882%2C107.6001
PHREV-20260605-0091,LODGE-01223,Asoka Hotel Bandung,hotel,high_review_confidence,high_review_confidence,"Asoka Hotel Bandung -6.928,107.6128",https://www.google.com/maps/search/?api=1&query=Asoka%20Hotel%20Bandung%20-6.928%2C107.6128
PHREV-20260605-0069,LODGE-00085,Asthaloka,hotel,high_review_confidence,high_review_confidence,"Asthaloka -6.8939,107.5735",https://www.google.com/maps/search/?api=1&query=Asthaloka%20-6.8939%2C107.5735
PHREV-20260605-0333,LODGE-00866,Aston Pasteur,hotel,high_review_confidence,high_review_confidence,"Aston Pasteur -6.8936,107.5872",https://www.google.com/maps/search/?api=1&query=Aston%20Pasteur%20-6.8936%2C107.5872
